title,developer,publisher,year,hidden
Maniac Mansion,"LucasArts
Realtime Associates",Jaleco,1990,FALSE
Mappy-Land,Tose,"Namco (JP)
Taxan (NA)",1989,FALSE
Marble Madness,Rare,Milton Bradley Company,1989,FALSE
Mario Bros.,"Nintendo R&D1
Nintendo R&D2
Intelligent Systems",Nintendo,1986,FALSE
Mario Is Missing!,Radical Entertainment,"Software Toolworks (NA)
Mindscape (PAL)",1993,FALSE
Mario's Time Machine,Radical Entertainment,Software Toolworks,1994,FALSE
Mechanized Attack,SNK,SNK,1990,FALSE
"Mega Man
Rockman (JP)",Capcom,Capcom,1987,FALSE
"Mega Man 2
Rockman 2: Dr. Wily no Nazo (JP)",Capcom,Capcom,1989,FALSE
"Mega Man 3
Rockman 3: Dr. Wily no Saigo!? (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1990,FALSE
"Mega Man 4
Rockman 4: Aratanaru Yabō!! (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1992,FALSE
"Mega Man 5
Rockman 5: Blues no Wana!? (JP)",Capcom,"Capcom (JP/NA)
Nintendo (PAL)",1992,FALSE
"Mega Man 6
Rockman 6: Shijō Saidai no Tatakai!! (JP)",Capcom,"Capcom (JP)
Nintendo (NA)",1994,FALSE
"Mendel Palace
Quinty (JP)",Game Freak,"Namco (JP)
Hudson Soft (NA)",1990,FALSE
Metal Gear,Konami,"Konami (JP/PAL)
Ultra Games (NA)",1988,FALSE
"Metal Mech: Man & Machine
Metal Flame: Psybuster (JP)",Sculptured Software,Jaleco,1991,FALSE
"Metal Storm
Juuryoku Soukou Metal Storm (JP)",Tamtex,Irem,1991,FALSE
Metroid,"Nintendo R&D1
Intelligent Systems",Nintendo,1987,FALSE
"Michael Andretti's World GP
Nakajima Satoru: F-1 Hero (JP)",Human Entertainment,"Varie (JP)
American Sammy (NA)",1990,FALSE
"Mickey Mousecapade
Mickey Mouse: Fushigi no Kuni no Daibōken (JP)",Hudson Soft,"Hudson Soft (JP)
Capcom (NA)",1988,FALSE
Mickey's Adventures in Numberland,Beam Software,Hi Tech Expressions,1994,FALSE
Mickey's Safari in Letterland,Beam Software,Hi Tech Expressions,1993,FALSE
Might and Magic Book One: The Secret of the Inner Sanctum,New World Computing,"Gakken (JP)
American Sammy (NA)",1992,FALSE
Mighty Bomb Jack,Tecmo,Tecmo,1987,FALSE
Mighty Final Fight,Capcom,Capcom,1993,FALSE
"Mike Tyson's Punch-Out!!
Punch-Out!! (JP)",Nintendo R&D3,Nintendo,1987,FALSE
Millipede,HAL Laboratory,"HAL Laboratory (JP)
HAL America (NA)",1988,FALSE
"Milon's Secret Castle
Meikyuu Kumikyoku (JP)",Hudson Soft,Hudson Soft,1988,FALSE
Mission: Impossible,Konami,"Ultra Games (NA)
Palcom Software (PAL)",1990,FALSE
Monopoly,Sculptured Software,"Tomy (JP)
Parker Brothers (NA/PAL)",1991,FALSE
Monster Party,Human Entertainment,Bandai,1989,FALSE
Monster Truck Rally,Realtime Associates,INTV,1991,FALSE
Monster in My Pocket,Konami,"Konami (NA)
Palcom Software (PAL)",1992,FALSE
Motor City Patrol,Source Research & Development,Matchbox,1992,FALSE
Ms. Pac-Man,Now Production,Namco,1993,FALSE
Muppet Adventure: Chaos at the Carnival,Mind's Eye,Hi Tech Expressions,1990,FALSE
Mystery Quest,Carry Lab,Taxan,1989,FALSE
NARC,Rare,Acclaim Entertainment,1990,FALSE
"NES Open Tournament Golf
Mario Open Golf (JP)",Nintendo R&D2,Nintendo,1991,FALSE
NES Play Action Football,Tose,Nintendo,1990,FALSE
NFL,Atlus,LJN,1989,FALSE
Nigel Mansell's World Championship Racing,Gremlin Graphics,"GameTek (NA)
Gremlin Interactive (PAL)",1993,FALSE
Nightshade,Beam Software,Ultra Games,1992,FALSE
Ninja Crusaders,NMK,"Sammy (JP)
American Sammy (NA)",1990,FALSE
"Ninja Gaiden
Ninja Ryūkenden  (JP)
Shadow Warriors (PAL)",Tecmo,Tecmo,1989,FALSE
"Ninja Gaiden II: The Dark Sword of Chaos
Ninja Ryūkenden II: Ankoku no Jashinken (JP)
Shadow Warriors II (PAL)",Tecmo,Tecmo,1990,FALSE
"Ninja Gaiden III: The Ancient Ship of Doom
Ninja Ryūkenden III: Yomi no Hakobune (JP)",Tecmo,Tecmo,1991,FALSE
"Ninja Kid
Gegege no Kitaro: Youkai Daimakyou (JP)",Tose,Bandai,1986,FALSE
"Nintendo World Cup
Nekketsu Koukou Dodgeball-bu Soccer-hen (JP)",Technōs Japan,"Technōs Japan (JP)
Nintendo (NA/PAL)",1990,FALSE
"Nobunaga's Ambition
Nobunaga no Yabou: Zenkokuban (JP)",Koei,Koei,1989,FALSE
"Nobunaga's Ambition II
Nobunaga no Yabou: Sengouku Gunyuuden (JP)",Koei,Koei,1991,FALSE
North & South,Kemco,"Kemco (JP)
Kemco*Seika (NA)
Infogrames (PAL)",1990,FALSE
Operation Wolf,Taito,Taito,1989,FALSE
Orb-3D,Software Toolworks,Hi Tech Expressions,1990,FALSE
"Othello
Family Computer Othello (JP)",HAL Laboratory,"Kawada, Co. Ltd (JP)
Acclaim Entertainment (NA)",1988,FALSE
Overlord,Probe Software,Virgin Games,1993,FALSE
"P.O.W.: Prisoners of War
Datsugoku (JP)",SNK,"K Amusements (JP)
SNK (NA)",1989,FALSE
Pac-Man,Namco,"Namco
Tengen (NA)",1988,FALSE
Palamedes,Natsume,Hot B,1990,FALSE
"Panic Restaurant
Wanpaku Kokkun no Gourmet World (JP)",EIM,Taito,1992,FALSE
Paperboy,Eastridge Technology,"Altron (JP)
Mindscape (NA/PAL)",1988,FALSE
Paperboy 2,Eastridge Technology,Mindscape,1992,FALSE
Peter Pan and the Pirates,Equilibrium,THQ,1991,FALSE
"Phantom Fighter
Reigen Doushi (JP)","Marionette
SRS","Pony Canyon (JP)
FCI (NA)",1990,FALSE
Pictionary,Software Creations,LJN,1990,FALSE
Pin*Bot,Rare,Nintendo,1990,FALSE
Pinball,"Nintendo R&D1
HAL Laboratory",Nintendo,1985,FALSE
Pinball Quest,Tose,Jaleco,1990,FALSE
Pipe Dream,Distinctive Software,Bullet-Proof Software,1990,FALSE
Pirates!,Rare,"Ultra Games (NA)
Palcom Software (PAL)",1991,FALSE
Platoon,Sunsoft,Sunsoft,1988,FALSE
Popeye,Nintendo R&D1,Nintendo,1986,FALSE
"Power Blade
Power Blazer (JP)",Natsume,Taito,1991,FALSE
"Power Blade 2
Captain Saver (JP)",Natsume,Taito,1992,FALSE
Power Punch II,Beam Software,American Softworks,1992,FALSE
Predator,Pack-In-Video,"Pack-In-Video (JP)
Activision (NA/PAL)",1989,FALSE
Prince of Persia,MotiveTime,"Virgin Games (NA)
Mindscape (PAL)",1992,FALSE
"Princess Tomato in the Salad Kingdom
Salad no Kuni no Tomato Hime (JP)",Hudson Soft,Hudson Soft,1991,FALSE
"Pro Sport Hockey
USA Ice Hockey in FC (JP)",Tose,Jaleco,1993,FALSE
Pro Wrestling,Nintendo R&D3,Nintendo,1987,FALSE
Punch-Out!! Featuring Mr. Dream,Nintendo R&D3,Nintendo,1990,TRUE
"Puss 'n Boots: Pero's Great Adventure
Nagagutsu o Haita Neko: Sekai Isshū 80 Nichi Dai Bōken (JP)",Shouei System,"Toei Animation (JP)
Electro Brain (NA)",1990,FALSE
Puzznic,Taito,"IGS (JP)
Taito (NA/PAL)",1990,FALSE
Q*bert,Konami,Ultra Games,1989,FALSE
Qix,Novotrade International,Taito,1991,FALSE
"R.B.I. Baseball
Pro Yakyuu Family Stadium (JP)",Tengen,"Namco (JP)
Tengen (NA)",1988,TRUE
R.C. Pro-Am,Rare,Nintendo,1988,FALSE
R.C. Pro-Am II,Rare,Tradewest,1992,FALSE
"Racket Attack
Moero!! Pro Tennis (JP)",Tose,Jaleco,1988,FALSE
"Rad Racer
Highway Star (JP)",Square,Nintendo,1987,FALSE
"Rad Racer II
Square Racing (JP)",Square,Square,1990,FALSE
"Raid on Bungeling Bay
Bungeling Bay (JP)",Hudson Soft,"Hudson Soft (JP)
Brøderbund (NA)",1987,FALSE
"Rainbow Islands
Rainbow Island: The Story of Bubble Bobble 2 (JP)",Taito,Taito,1991,FALSE
"Rally Bike
Dash Yarou (JP)",Toaplan,"Visco (JP)
Romstar (NA)",1990,FALSE
Rambo,Pack-In-Video,"Pack-In-Video (JP)
Acclaim Entertainment (NA)",1988,FALSE
Rampage,Data East,Data East,1988,FALSE
Rampart,Bitmasters,Jaleco,1992,FALSE
Remote Control,Riedel Software Productions,Hi Tech Expressions,1990,FALSE
"Renegade
Nekketsu Kouha Kunio Kun (JP)",Technōs Japan,"Technōs Japan (JP)
Taito (NA)",1988,FALSE
"Rescue: The Embassy Mission
Hostages (JP)",Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1990,FALSE
"Ring King
Family Boxing (JP)","Jastec
Neue Design","Namco (JP)
Data East (NA)",1987,FALSE
"River City Ransom
Downtown Nekketsu Monogatari (JP)
Street Gangs (PAL)",Technōs Japan,"Technōs Japan (JP/NA)
Infogrames (PAL)",1990,FALSE
RoadBlasters,Beam Software,Mindscape,1990,FALSE
Robin Hood: Prince of Thieves,Sculptured Software,"Virgin Games (NA)
Mindscape (PAL)",1991,FALSE
RoboCop,"Data East
Sakata SAS","Data East (JP/NA)
Ocean Software (PAL)",1989,FALSE
RoboCop 2,Painting by Numbers,"Data East (JP/NA)
Ocean Software (PAL)",1991,FALSE
RoboCop 3,Probe Software,Ocean Software,1992,FALSE
"Robowarrior
Bomber King (JP)","Hudson Soft
Aicom","Hudson Soft (JP)
Jaleco (NA/PAL)",1988,FALSE
"Rock 'n' Ball
Family Pinball (JP)",KID,"Namco (JP)
NTVIC (NA)",1990,FALSE
Rocket Ranger,Beam Software,Kemco*Seika,1990,FALSE
"Rockin' Kats
New York Nyankies (JP)",Atlus,Atlus,1991,FALSE
Roger Clemens' MVP Baseball,Sculptured Software,LJN,1991,FALSE
RollerGames,Konami,"Ultra Games (NA)
Konami (PAL)",1990,FALSE
Rollerball,HAL Laboratory,"HAL Laboratory (JP/PAL)
HAL America (NA)",1990,FALSE
Rollerblade Racer,Radiance,Hi Tech Expressions,1993,FALSE
"Romance of the Three Kingdoms
San Goku Shi (JP)",Koei,Koei,1989,FALSE
"Romance of the Three Kingdoms II
San Goku Shi II (JP)",Koei,Koei,1991,FALSE
Roundball: 2 on 2 Challenge,Park Place Productions,Mindscape,1992,FALSE
Rush'n Attack,Konami,Konami,1987,FALSE
"Rygar
Argos no Senshi: Hachamecha Daishingeki (JP)",Tecmo,Tecmo,1987,FALSE
"S.C.A.T.: Special Cybernetic Attack Team
Final Mission (JP)
Action in New York (PAL)",Natsume,"Natsume (JP/NA)
Infogrames (PAL)",1991,FALSE
Section Z,Capcom,Capcom,1987,FALSE
Seicross,Nichibutsu,"Nihon Bussan (JP)
FCI (NA)",1988,FALSE
Sesame Street: 1-2-3,Zippo Games,Hi Tech Expressions,1989,FALSE
Sesame Street: A-B-C,Zippo Games,Hi Tech Expressions,1989,FALSE
Sesame Street: A-B-C/1-2-3,Zippo Games,Hi Tech Expressions,1991,TRUE
Sesame Street: Big Bird's Hide & Speak,Riedel Software Productions,Hi Tech Expressions,1990,FALSE
Sesame Street: Countdown,Riedel Software Productions,Hi Tech Expressions,1992,FALSE
"Shadow of the Ninja
Kage (JP)
Blue Shadow (PAL)",Natsume,"Natsume (JP/NA)
Taito (PAL)",1990,FALSE
Shadowgate,Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1989,FALSE
"Shatterhand
Tokkyū Shirei Solbrain (JP)",Natsume,"Angel (JP)
Jaleco (NA/PAL)",1991,FALSE
"Shingen the Ruler
Takeda Shingen II (JP)",Another,Hot-B,1990,FALSE
Shooting Range,Tose,Bandai,1989,FALSE
Short Order (part of Short Order / Eggsplode!),Tose,Nintendo,1989,TRUE
Side Pocket,Data East,"Namco (JP)
Data East (NA/PAL)",1987,FALSE
Silent Service,Rare,"Ultra Games (NA)
Konami (PAL)",1989,FALSE
Silkworm,Sammy Japan,American Sammy,1990,FALSE
Silver Surfer,Software Creations,Arcadia Systems,1990,FALSE
Skate or Die 2: The Search for Double Trouble,Electronic Arts,Electronic Arts,1990,FALSE
Skate or Die!,Konami,"Ultra Games (NA)
Palcom Software (PAL)",1988,FALSE
Ski or Die,Konami,"Ultra Games (NA)
Palcom Software (PAL)",1991,FALSE
Sky Kid,Namco,"Namco (JP)
Sunsoft (NA)",1987,FALSE
Sky Shark,Software Creations,Taito,1989,FALSE
Slalom,Rare,Nintendo,1987,FALSE
Smash TV,Beam Software,Acclaim Entertainment,1991,FALSE
Snake Rattle 'n' Roll,Rare,Nintendo,1990,FALSE
Snake's Revenge,Konami,"Ultra Games (NA)
Konami (PAL)",1990,FALSE
"Snoopy's Silly Sports Spectacular!
Donald Duck (JP)",Kemco,"Kemco (JP)
Kemco*Seika (NA)",1990,FALSE
"Snow Brothers
Snow Bros. (JP)",Soft House,"Toaplan (JP)
Capcom (NA/PAL)",1991,FALSE
Soccer,Intelligent Systems,Nintendo,1985,FALSE
Solar Jetman: Hunt for the Golden Warpship,Zippo Games,"Tradewest (NA)
Nintendo (PAL)",1990,FALSE
"Solomon's Key
Solomon no Kagi (JP)",Tecmo,Tecmo,1987,FALSE
"Solstice: The Quest for the Staff of Demnos
Solstice (JP)",Software Creations,"Epic/Sony Records (JP)
CSG Imagesoft (NA)
Nintendo (PAL)",1990,FALSE
Space Shuttle Project,Imagineering,Absolute Entertainment,1991,FALSE
Spelunker,"Tamtex
Tose","Irem (JP)
Brøderbund (NA)",1987,FALSE
Spider-Man: Return of the Sinister Six,Bits Studios,LJN,1992,FALSE
"Spot: The Video Game
Spot (JP)",Virgin Mastertronic,"Bullet-Proof Software (JP)
Arcadia Systems (NA)",1990,FALSE
Spy Hunter,Sunsoft,Sunsoft,1987,FALSE
Spy vs. Spy,Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1988,FALSE
Sqoon,Home Data,Irem,1987,FALSE
"Stack-Up
Robot Block (JP)",Nintendo R&D1,Nintendo,1985,FALSE
"Stadium Events
Family Trainer: Running Stadium (JP)",Human Entertainment,Bandai,1987,TRUE
Stanley: The Search for Dr. Livingston,Sculptured Software,Electro Brain,1992,FALSE
Star Force,Tecmo,Tecmo,1987,FALSE
Star Soldier,Hudson Soft,"Hudson Soft (JP)
Taxan (NA)",1989,FALSE
Star Trek: 25th Anniversary,Interplay Entertainment,"Ultra Games (NA)
Palcom Software (PAL)",1992,FALSE
Star Trek: The Next Generation,Imagineering,Absolute Entertainment,1993,FALSE
"Star Voyager
Cosmo Genesis (JP)",ASCII,"ASCII (JP)
Acclaim Entertainment (NA)",1987,FALSE
Star Wars,"Lucasfilm Games
Beam Software",JVC Musical Industries,1991,FALSE
"Star Wars: The Empire Strikes Back
Star Wars: Teikoku no Gyakushuu (JP)","Lucasfilm Games
Sculptured Software",JVC Musical Industries,1992,FALSE
StarTropics,"Nintendo R&D3
Locomotive Corporation",Nintendo,1990,FALSE
"Starship Hector
Hector '87 (JP)",Hudson Soft,Hudson Soft,1990,FALSE
Stealth ATF,Imagineering,"Activision (NA)
Nintendo (PAL)",1989,FALSE
"Stinger
Moero TwinBee (JP)",Konami,Konami,1987,FALSE
"Street Cop
Family Trainer: Manhattan Police (JP)",Human Entertainment,Bandai,1989,FALSE
"Street Fighter 2010: The Final Fight
2010 Street Fighter (JP)",Capcom,Capcom,1990,FALSE
Strider,Capcom,Capcom,1989,FALSE
"Super C
Super Contra (JP)
Probotector II: Return of The Evil Forces (PAL)",Konami,Konami,1990,FALSE
Super Cars,Magnetic Fields,Electro Brain,1991,FALSE
"Super Dodge Ball
Nekketsu Koukou Dodge Ball Bu (JP)",Technōs Japan,"Technōs Japan (JP)
CSG Imagesoft (NA)",1989,FALSE
Super Glove Ball,Rare,Mattel,1990,FALSE
Super Jeopardy!,Imagitec,GameTek,1991,FALSE
Super Mario Bros.,Nintendo R&D4,Nintendo,1985,FALSE
"Super Mario Bros. 2
Super Mario USA (JP)",Nintendo R&D4,Nintendo,1988,FALSE
Super Mario Bros. 3,Nintendo R&D4,Nintendo,1990,FALSE
Super Pitfall,Micronics,"Pony Canyon (JP)
Activision (NA)",1987,FALSE
"Super Spike V'Ball
US Championship V'Ball (JP)",Technōs Japan,"Technōs Japan (JP)
Nintendo (NA/PAL)",1990,FALSE
"Super Spy Hunter
Battle Formula (JP)",Sunsoft,Sunsoft,1992,FALSE
"Super Team Games
Family Trainer: Daiundōkai (JP)",Human Entertainment,"Bandai (JP)
Nintendo (NA)",1988,FALSE
Superman,Kemco,"Kemco (JP)
Kemco*Seika (NA)",1988,FALSE
Swamp Thing,Imagineering,THQ,1992,FALSE
Sword Master,Athena,"Athena (JP)
Activision (NA/PAL)",1992,FALSE
Swords and Serpents,Interplay Entertainment,Acclaim Entertainment,1990,FALSE
Taboo: The Sixth Sense,Rare,Tradewest,1989,FALSE
"Tag Team Wrestling
Tag Team Pro Wrestling (JP)","Data East
Sakata SAS","Namco (JP)
Data East (NA)",1986,FALSE
TaleSpin,Capcom,Capcom,1991,FALSE
Target: Renegade,Software Creations,Taito,1990,FALSE
Tecmo Baseball,Tecmo,Tecmo,1989,FALSE
Tecmo Bowl,Tecmo,Tecmo,1989,FALSE
"Tecmo Cup Soccer Game
Captain Tsubasa (JP)
Tecmo Cup: Football Game (PAL)",Tecmo,Tecmo,1992,FALSE
Tecmo NBA Basketball,Sculptured Software,Tecmo,1992,FALSE
Tecmo Super Bowl,Tecmo,Tecmo,1991,FALSE
"Tecmo World Wrestling
Gekitou Pro Wrestling!! Toukon Densetsu (JP)",Tecmo,Tecmo,1990,FALSE
"Teenage Mutant Ninja Turtles
Gekikame Ninja Den (JP)
Teenage Mutant Hero Turtles (PAL)",Konami,"Konami (JP)
Ultra Games (NA)
Palcom Software (PAL)",1989,FALSE
"Teenage Mutant Ninja Turtles II: The Arcade Game
Teenage Mutant Ninja Turtles: Super Kame Ninja (JP)
Teenage Mutant Hero Turtles II: The Arcade Game (PAL)",Konami,"Konami (JP/PAL)
Ultra Games (NA)",1990,FALSE
"Teenage Mutant Ninja Turtles III: The Manhattan Project
Teenage Mutant Ninja Turtles II: The Manhattan Project (JP)",Konami,Konami,1992,FALSE
"Teenage Mutant Ninja Turtles: Tournament Fighters
Teenage Mutant Hero Turtles: Tournament Fighters (PAL)",Konami,Konami,1994,FALSE
Tennis,"Nintendo R&D1
Intelligent Systems",Nintendo,1985,FALSE
"Terminator 2: Judgment Day
Terminator 2 (JP)",Software Creations,"Pack-In-Video (JP)
LJN (NA/PAL)",1992,FALSE
Terra Cresta,Nihon Bussan,"Nihon Bussan (JP)
Vic Tokai (NA)",1990,FALSE
Tetris,Nintendo R&D1,"Bullet-Proof Software (JP)
Nintendo (NA/PAL)",1989,FALSE
"Tetris 2
Tetris Flash (JP)",Tose,Nintendo,1993,FALSE
The Addams Family,Ocean Software,Ocean Software,1992,FALSE
The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,1993,FALSE
"The Adventures of Bayou Billy
Mad City (JP)",Konami,Konami,1989,FALSE
The Adventures of Gilligan's Island,Human Entertainment,Bandai,1990,FALSE
The Adventures of Rad Gravity,Interplay Productions,Activision,1990,FALSE
The Adventures of Rocky and Bullwinkle and Friends,Radical Entertainment,THQ,1992,FALSE
"The Battle of Olympus
Olympus no Tatakai (JP)",Infinity,"Imagineer (JP)
Brøderbund (NA)
Nintendo (PAL)",1989,FALSE
"The Black Bass
The Black Bass 2 (JP)",Another,Hot-B,1989,FALSE
The Blue Marlin,Hot-B,Hot-B,1992,FALSE
The Blues Brothers,Titus Software,Titus Software,1992,FALSE
"The Bugs Bunny Birthday Blowout
Happy Birthday Bugs (JP)
The Bugs Bunny Blowout (PAL)",Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1990,FALSE
The Bugs Bunny Crazy Castle,Kemco,Kemco*Seika,1989,FALSE
The Chessmaster,Software Toolworks,"Hi Tech Expressions (NA)
Nintendo (PAL)",1990,FALSE
The Flintstones: Surprise at Dinosaur Peak,"Taito
Sol Corporation",Taito,1994,FALSE
The Flintstones: The Rescue of Dino & Hoppy,"Taito
Sol Corporation",Taito,1991,FALSE
"The Goonies II
The Goonies II: Fratelli Saigo no Chōsen (JP)",Konami,Konami,1987,FALSE
The Great Waldo Search,Radiance,THQ,1992,FALSE
"The Guardian Legend
Guardic Gaiden (JP)",Compile,"Irem (JP)
Brøderbund (NA)
Nintendo (PAL)",1989,FALSE
The Hunt for Red October,Beam Software,Hi Tech Expressions,1991,FALSE
The Immortal,Sandcastle,Electronic Arts,1990,FALSE
The Incredible Crash Dummies,Software Creations,LJN,1994,FALSE
The Jetsons: Cogswell's Caper!,Natsume,Taito,1992,FALSE
The Jungle Book,Eurocom,Virgin Interactive Entertainment,1994,FALSE
The Karate Kid,Atlus,LJN,1987,FALSE
"The Krion Conquest
Magical Kids Doropi (JP)",Vic Tokai,Vic Tokai,1991,FALSE
The Last Ninja,Beam Software,Jaleco,1991,FALSE
The Last Starfighter,Eastridge Technology,Mindscape,1990,FALSE
"The Legend of Kage
Kage no Densetsu (JP)",Taito,Taito,1987,FALSE
"The Legend of Zelda
The Hyrule Fantasy: Zelda no Densetsu 1 (JP)",Nintendo R&D4,Nintendo,1987,FALSE
"The Little Mermaid
The Little Mermaid: Ningyo Hime (JP)",Capcom,Capcom,1991,FALSE
The Lone Ranger,Konami,Konami,1991,FALSE
"The Mafat Conspiracy: Golgo 13
Golgo 13 II (JP)",Aicom,Vic Tokai,1990,FALSE
"The Magic of Scheherazade
Arabian Dream Scheherazade (JP)",Culture Brain,Culture Brain,1990,FALSE
The Miracle Piano Teaching System,Software Toolworks,"Software Toolworks (NA)
Mindscape (PAL)",1990,FALSE
The Mutant Virus: Crisis in a Computer World,Rocket Science Productions,American Softworks,1992,FALSE
The Punisher,Beam Software,LJN,1991,FALSE
The Ren & Stimpy Show: Buckeroo$!,Imagineering,THQ,1993,FALSE
The Rocketeer,Ironwind Software,Bandai,1991,FALSE
The Simpsons: Bart vs. the Space Mutants,Imagineering,Acclaim Entertainment,1991,FALSE
The Simpsons: Bart vs. the World,Imagineering,Acclaim Entertainment,1991,FALSE
The Simpsons: Bartman Meets Radioactive Man,Imagineering,Acclaim Entertainment,1992,FALSE
The Terminator,Radical Entertainment,Mindscape,1992,FALSE
The Three Stooges,Beam Software,Activision,1989,FALSE
The Uncanny X-Men,Pixel,LJN,1989,FALSE
The Untouchables,Special FX Software,"Altron (JP)
Ocean Software (NA)",1991,FALSE
The Young Indiana Jones Chronicles,Jaleco,Jaleco,1992,FALSE
"Thunder & Lightning
Family Block (JP)",Visco Corporation,"Athena (JP)
Romstar (NA)",1990,FALSE
Thunderbirds,Pack-In-Video,"Pack-In-Video (JP)
Activision (NA)",1990,FALSE
Thundercade,Micronics,American Sammy,1989,FALSE
Tiger-Heli,Micronics,"Pony Canyon (JP)
Acclaim Entertainment (NA)",1987,FALSE
Time Lord,Rare,Milton Bradley Company,1990,FALSE
Times of Lore,Toho,Toho,1991,FALSE
Tiny Toon Adventures,Konami,Konami,1991,FALSE
"Tiny Toon Adventures 2: Trouble in Wackyland
Tiny Toon Adventures 2: Montana Land e Yōkoso (JP)",Konami,Konami,1993,FALSE
Tiny Toon Adventures Cartoon Workshop,Novotrade International,Konami,1992,FALSE
To the Earth,Cirque Verte,Nintendo,1989,FALSE
"Toki
JuJu Densetsu (JP)",Daiei Seisakusho,Taito,1991,FALSE
Tom and Jerry,Software Creations,"Altron (JP)
Hi Tech Expressions (NA/PAL)",1991,FALSE
"Tombs & Treasure
Taiyou no Shinden Asteka II (JP)",Compile,"Tokyo Shoseki (JP)
Infocom (NA)",1991,FALSE
Top Gun,Konami,Konami,1987,FALSE
"Top Gun: The Second Mission
Top Gun: Dual Fighters (JP)",Konami,Konami,1990,FALSE
"Top Players' Tennis
World Super Tennis (JP)
Four Players' Tennis (PAL)",Home Data,"Asmik (JP/NA)
Nintendo (PAL)",1990,FALSE
Total Recall,Interplay Entertainment,Acclaim Entertainment,1990,FALSE
"Totally Rad
Magic John (JP)",Aicom,Jaleco,1991,FALSE
"Touch Down Fever
Touch Down Fever: American Football (JP)",SNK,"K Amusement (JP)
SNK (NA)",1991,FALSE
Town & Country II: Thrilla's Surfari,Sculptured Software,LJN,1992,FALSE
Town & Country Surf Designs: Wood & Water Rage,Atlus,LJN,1988,FALSE
Toxic Crusaders,Tose,Bandai,1992,FALSE
"Track & Field
Hyper Olympic (JP)
Track & Field in Barcelona (PAL)",Konami,"Konami (JP/NA)
Kemco (PAL)",1987,FALSE
"Track & Field II
Konami Sports in Seoul (JP)",Konami,Konami,1989,FALSE
Treasure Master,Software Creations,American Softworks,1991,FALSE
Trog!,Visual Concepts,Acclaim Entertainment,1991,FALSE
"Trojan
Tatakai no Banka (JP)",Capcom,Capcom,1987,FALSE
"Twin Cobra
Kyuukyoku Tiger (JP)",Micronics,"CBS Sony Group (JP)
American Sammy (NA)",1990,FALSE
"Twin Eagle
Twin Eagle: Revenge Joe's Brother (JP)",SETA,Romstar,1989,FALSE
"Ultima III: Exodus
Ultima (JP)",Newtopia Planning,"Pony Canyon (JP)
FCI (NA)",1989,FALSE
"Ultima IV: Quest of the Avatar
Ultima: Seisha he no Michi (JP)","Atelier Double
Infinity","Pony Canyon (JP)
FCI (NA)",1990,FALSE
Ultima V: Warriors of Destiny,Origin Systems,FCI,1993,FALSE
"Ultimate Air Combat
Aces: Iron Eagle III (JP)",Activision,"Pack-In-Video (JP)
Activision (NA/PAL)",1992,FALSE
"Ultimate Basketball
Taito Basketball (JP)",Aicom,"Taito (JP)
American Sammy (NA)",1990,FALSE
"Uncharted Waters
Daikoukai Jidai (JP)",Koei,Koei,1991,FALSE
"Uninvited
Akuma no Shoutaijou (JP)",Kemco,"Kemco (JP)
Kemco*Seika (NA)",1991,FALSE
Urban Champion,Nintendo R&D1,Nintendo,1986,FALSE
"Vegas Dream
Viva Las Vegas (JP)",HAL Laboratory,"Epic/Sony Records (JP)
HAL America (NA)",1990,FALSE
"Vice: Project Doom
Gun-Dec (JP)",Aicom,"Sammy (JP)
American Sammy (NA)",1991,FALSE
Videomation,FarSight Studios,THQ,1991,FALSE
Volleyball,Pax Softnica,Nintendo,1987,FALSE
"WCW Wrestling
Super Star Pro Wrestling (JP)",Nichibutsu,"Pony Canyon (JP)
FCI (NA)",1990,FALSE
WWF King of the Ring,"Gray Matter
Eastridge Technology",LJN,1993,FALSE
WWF WrestleMania,Rare,Acclaim Entertainment,1989,FALSE
WWF WrestleMania Challenge,Rare,"Hot B (JP)
LJN (NA/PAL)",1990,FALSE
WWF WrestleMania: Steel Cage Challenge,Sculptured Software,LJN,1992,FALSE
"Wacky Races
Chiki Chiki Machine Mou Race (JP)",Atlus,Atlus,1992,FALSE
"Wall Street Kid
Money Game II: Kabutochou no Kiseki (JP)",SOFEL,SOFEL,1990,FALSE
"Wario's Woods
Wario no Mori (JP)",Nintendo R&D1,Nintendo,1994,FALSE
Wayne Gretzky Hockey,Bethesda Softworks,THQ,1991,FALSE
Wayne's World,Radical Entertainment,THQ,1993,FALSE
"Werewolf: The Last Warrior
Choujinrou Senki Warwolf (JP)","Data East
Sakata SAS","Takara (JP)
Data East (NA/PAL)",1990,FALSE
Wheel of Fortune,Rare,GameTek,1988,FALSE
Wheel of Fortune Family Edition,Rare,GameTek,1990,FALSE
Wheel of Fortune Junior Edition,Rare,GameTek,1989,FALSE
Wheel of Fortune: Featuring Vanna White,Imagitec,GameTek,1992,FALSE
Where in Time Is Carmen Sandiego?,Distinctive Software,Konami,1991,FALSE
