title,developer,publisher,year,hidden
Blades of Steel,Konami,Konami,1988,FALSE
"Blaster Master
Chou-Wakusei Senki MetaFight (JP)",Sunsoft,Sunsoft,1988,FALSE
Bo Jackson Baseball,Beam Software,Data East,1991,FALSE
Bomberman,Hudson Soft,Hudson Soft,1989,FALSE
"Bomberman II
Dynablaster (PAL)",Hudson Soft,Hudson Soft,1993,FALSE
"Bonk's Adventure
FC Genjin (JP)",AI,Hudson Soft,1994,FALSE
Boulder Dash,"Data East
Sakata SAS","Data East (JP)
JVC Musical Industries (NA)
Nintendo (PAL)",1990,FALSE
Bram Stoker's Dracula,Probe Software,Sony Imagesoft,1993,FALSE
Break Time: The National Pool Tour,Opera House,FCI,1993,FALSE
BreakThru,Data East,Data East,1987,FALSE
Bubble Bobble,Taito,Taito,1988,FALSE
"Bubble Bobble Part 2
Bubble Bobble 2 (JP)","OLM
I.T.L",Taito,1993,FALSE
Bucky O'Hare,Konami,"Konami (JP/NA)
Palcom Software (PAL)",1992,FALSE
Bump 'n' Jump,"Data East
Sakata SAS","Data East (JP)
Vic Tokai (NA)",1988,FALSE
Burai Fighter,KID,"Taito (JP)
Taxan (NA)
Nintendo (PAL)",1990,FALSE
BurgerTime,"Data East
Sakata SAS","Namco (JP)
Data East (NA)",1987,FALSE
Cabal,Zippo Games,Milton Bradley Company,1990,FALSE
Caesars Palace,Realtime Associates,Virgin Games,1992,FALSE
California Games,Rare,Milton Bradley Company,1989,FALSE
"Capcom's Gold Medal Challenge '92
Capcom Barcelona '92 (JP)",Capcom,Capcom,1992,FALSE
Captain America and The Avengers,Data East,Data East,1991,FALSE
Captain Planet and the Planeteers,Chris Gray Enterprises,Mindscape,1991,FALSE
Captain Skyhawk,Rare,"Milton Bradley Company (NA)
Nintendo (PAL)",1990,FALSE
"Casino Kid
$1,000,000 Kid: Maboroshi no Teiou Hen (JP)",SOFEL,SOFEL,1989,FALSE
Casino Kid 2,SOFEL,SOFEL,1993,FALSE
"Castelian
Kyorochan Land (JP)",Bits Studios,"Hiro (JP)
Triffix (NA)
Storm (PAL)",1991,FALSE
"Castle of Dragon
Dragon Unit (JP)",Athena,SETA,1990,FALSE
"Castlequest
Castle Excellent (JP)",ASCII,"ASCII (JP)
Nexoft (NA)",1989,FALSE
"Castlevania
Akumajō Dracula (JP)",Konami,Konami,1987,FALSE
Castlevania II: Simon's Quest,Konami,Konami,1988,FALSE
"Castlevania III: Dracula's Curse
Akumajō Densetsu (JP)",Konami,Konami,1990,FALSE
Caveman Games,Painting by Numbers,Data East,1990,FALSE
Championship Bowling,Athena,"Athena (JP)
Romstar (NA)",1989,FALSE
Championship Pool,Bitmasters,Mindscape,1993,FALSE
"Chip 'n Dale: Rescue Rangers
Chip to Dale no Daisakusen (JP)",Capcom,Capcom,1990,FALSE
"Chip 'n Dale: Rescue Rangers 2
Chip to Dale no Daisakusen 2 (JP)",Capcom,Capcom,1994,FALSE
"Chubby Cherub
Obake no Q Tarou: Wan Wan Panic (JP)",Tose,Bandai,1986,FALSE
"Circus Caper
Moeru! Oniisan (JP)",Advance Communication Company,Toho,1990,FALSE
City Connection,,Jaleco,1988,FALSE
"Clash at Demonhead
Dengeki Big Bang! (JP)",Vic Tokai,Vic Tokai,1990,FALSE
Classic Concentration,Softie,GameTek,1990,FALSE
Cliffhanger,Spidersoft,Sony Imagesoft,1993,FALSE
Clu Clu Land,Nintendo R&D1,Nintendo,1985,FALSE
Cobra Command,Data East,Data East,1988,FALSE
Cobra Triangle,Rare,Nintendo,1989,FALSE
"Code Name: Viper
Ningen Heiki Dead Fox (JP)","Arc System Works
Capcom",Capcom,1990,FALSE
Color a Dinosaur,FarSight Studios,Virgin Games,1993,FALSE
"Commando
Senjo no Ookami (JP)",Capcom,Capcom,1986,FALSE
Conan: The Mysteries of Time,Eastridge Technology,Mindscape,1991,FALSE
Conflict,Vic Tokai,Vic Tokai,1990,FALSE
"Conquest of the Crystal Palace
Matendo Douji (JP)",Quest,"Quest (JP)
Asmik (NA)",1990,FALSE
"Contra
Probotector (PAL)
Gryzor (AUS/EU)",Konami,Konami,1988,FALSE
Contra Force,Konami,Konami,1992,FALSE
Cool World,Ocean Software,Ocean Software,1993,FALSE
"Cowboy Kid
Western Kids (JP)",Pixel,"Visco (JP)
Romstar (NA)",1992,FALSE
"Crash 'n the Boys: Street Challenge
Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal (JP)",Technōs Japan,Technōs Japan,1992,FALSE
"Crystalis
God Slayer: Haruka Tenkū no Sonata (JP)",SNK,SNK,1990,FALSE
Cyberball,Richard Seaborne,Jaleco,1992,FALSE
Cybernoid: The Fighting Machine,Raffaele Cecco,Acclaim Entertainment,1989,FALSE
"Dance Aerobics
Family Trainer: Aerobics Studio (JP)",Human Entertainment,"Bandai (JP)
Nintendo (NA)",1989,FALSE
Danny Sullivan's Indy Heat,Rare,Tradewest,1992,FALSE
Darkman,Painting by Numbers,Ocean Software,1991,FALSE
Darkwing Duck,Capcom,Capcom,1992,FALSE
Dash Galaxy in the Alien Asylum,Beam Software,Data East,1990,FALSE
Day Dreamin' Davey,Sculptured Software,HAL America,1992,FALSE
Days of Thunder,Beam Software,Mindscape,1990,FALSE
"Deadly Towers
Mashou (JP)","Lenar
Tamtex","Irem (JP)
Brøderbund (NA)",1987,FALSE
"Defender II
Stargate (JP)",Vid Kidz,"HAL (JP)
HAL America (NA)",1988,FALSE
Defender of the Crown,Beam Software,"Ultra Games (NA)
Palcom Software (PAL)",1989,FALSE
Defenders of Dynatron City,Lucasfilm Games,JVC Musical Industries,1992,FALSE
"Demon Sword
Fudou Myououden (JP)",Tose,Taito,1990,FALSE
"Desert Commander
Sensha Senryaku: Sabaku no Kitsune (JP)",Kemco,"Kemco (JP)
Kemco*Seika (NA)",1989,FALSE
Destination Earthstar,Imagineering,Acclaim Entertainment,1990,FALSE
"Destiny of an Emperor
Tenchi wo Kurau (JP)",Capcom,Capcom,1990,FALSE
Dick Tracy,Realtime Associates,Bandai,1990,FALSE
Die Hard,Pack-In-Video,"Pack-In-Video (JP)
Activision (NA/PAL)",1992,FALSE
Dig Dug II,Namco,"Namco (JP)
Bandai (NA)",1989,FALSE
Digger T. Rock: Legend of the Lost City,Rare,Milton Bradley Company,1990,FALSE
Dirty Harry,Gray Matter Inc.,Mindscape,1990,FALSE
Donkey Kong,"Nintendo R&D1
Nintendo R&D2",Nintendo,1986,FALSE
Donkey Kong 3,"Nintendo R&D1
Nintendo R&D2",Nintendo,1986,FALSE
Donkey Kong Classics,Nintendo R&D4,Nintendo,1988,TRUE
Donkey Kong Jr.,"Nintendo R&D1
Nintendo R&D2",Nintendo,1986,FALSE
"Donkey Kong Jr. Math
Donkey Kong Jr. no Sansū Asobi (JP)",Nintendo R&D2,Nintendo,1986,FALSE
Double Dare,Rare,GameTek,1990,FALSE
Double Dragon,Technōs Japan,"Technōs Japan (JP)
Tradewest (NA)
Nintendo (PAL)",1988,FALSE
Double Dragon II: The Revenge,Technōs Japan,"Technōs Japan (JP)
Acclaim Entertainment (NA/PAL)",1990,FALSE
"Double Dragon III: The Sacred Stones
Double Dragon III: The Rosetta Stone (JP)",Technōs Japan,"Technōs Japan (JP)
Acclaim Entertainment (NA/PAL)",1991,FALSE
Double Dribble,Konami,Konami,1987,FALSE
Dr. Chaos,"Marionette
SRS",FCI,1988,FALSE
"Dr. Jekyll and Mr. Hyde
Jekyll Hakase no Houma ga Toki (JP)",Advance Communication Company,"Toho (JP)
Bandai (NA)",1989,FALSE
Dr. Mario,Nintendo R&D1,Nintendo,1990,FALSE
Dragon Fighter,Natsume,"Towachiki (JP)
SOFEL (NA)",1992,FALSE
"Dragon Power
Dragon Ball: Shenron no Nazo (JP)
Dragon BallPALDragon Ball: Le Secret du DragonFR",Tose,Bandai,1988,FALSE
"Dragon Spirit: The New Legend
Dragon Spirit: Aratanaru Densetsu (JP)",Now Production,"Namco (JP)
Bandai (NA)",1990,FALSE
"Dragon Warrior
Dragon Quest (JP)",Chunsoft,"Enix (JP)
Nintendo (NA)",1989,FALSE
"Dragon Warrior II
Dragon Quest II: Gods of the Evil Spirits (JP)",Chunsoft,Enix,1990,FALSE
"Dragon Warrior III
Dragon Quest III: And thus into Legend... (JP)",Chunsoft,Enix,1992,FALSE
"Dragon Warrior IV
Dragon Quest IV: The Guided Ones (JP)",Chunsoft,Enix,1992,FALSE
Dragon's Lair,MotiveTime,"Epic/Sony Records (JP)
CSG Imagesoft (NA)
Elite Systems (PAL)",1990,FALSE
Duck Hunt,"Nintendo R&D1
Intelligent Systems",Nintendo,1985,FALSE
"DuckTales
Wanpaku Duck Yume Bouken (JP)",Capcom,Capcom,1989,FALSE
DuckTales 2,Capcom,Capcom,1993,FALSE
Dungeon Magic: Sword of the Elements,Natsume,"Natsume (JP)
Taito (NA)",1990,FALSE
"Dusty Diamond's All-Star Softball
Softball Tengoku (JP)",Tose,"Tonkin House (JP)
Brøderbund (NA)",1990,FALSE
Dynowarz: Destruction of Spondylus,Advance Communication Company,Bandai,1990,FALSE
Déjà Vu,Kemco,"Kemco (JP/PAL)
Kemco*Seika (NA)",1990,FALSE
Eggsplode! (part of Short Order / Eggsplode!),Tose,Nintendo,1989,TRUE
Elevator Action,Micronics,Taito,1987,FALSE
Eliminator Boat Duel,Sculptured Software,"Electro Brain (NA)
Storm (PAL)",1991,FALSE
Excitebike,"Nintendo R&D1
Nintendo R&D4",Nintendo,1985,FALSE
F-15 Strike Eagle,MicroProse,MicroProse,1992,FALSE
F-117A Stealth Fighter,MicroProse,MicroProse,1992,FALSE
Family Feud,Beam Software,GameTek,1991,FALSE
"Faria: A World of Mystery and Danger
Faria Fuuin no Tsurugi (JP)",Game Arts,"Hi-Score Media Work (JP)
Nexoft (NA)",1991,FALSE
Faxanadu,Hudson Soft,"Hudson Soft (JP)
Nintendo (NA)",1989,FALSE
Felix the Cat,Shimada Kikaku,Hudson Soft,1992,FALSE
"Ferrari Grand Prix Challenge
Ferrari (JP)",System 3,"Coconuts Japan (JP)
Acclaim Entertainment (NA/PAL)",1992,FALSE
Fester's Quest,Sunsoft,Sunsoft,1989,FALSE
Final Fantasy,Square,"Square (JP)
Nintendo (NA)",1990,FALSE
"Fire 'n Ice
Solomon no Kagi 2 (JP)
Solomon's Key 2 (PAL)",Tecmo,Tecmo,1993,FALSE
Fisher-Price: Firehouse Rescue,Imagineering,GameTek,1992,FALSE
Fisher-Price: I Can Remember,Beam Software,GameTek,1990,FALSE
Fisher-Price: Perfect Fit,Beam Software,GameTek,1990,FALSE
"Fist of the North Star
Hokuto no Ken 2 (JP)",Shouei System,"Toei Animation (JP)
Taxan (NA)",1989,FALSE
"Flight of the Intruder
Phantom Air Mission (PAL)",Imagineering,"Mindscape (NA)
Activision (PAL)",1991,FALSE
"Flying Dragon: The Secret Scroll
Hiryu no Ken (JP)",Culture Brain,Culture Brain,1989,FALSE
Flying Warriors,Culture Brain,Culture Brain,1991,FALSE
Formula One: Built to Win,Winkysoft,SETA,1990,FALSE
Frankenstein: The Monster Returns,Tose,Bandai,1991,FALSE
Freedom Force,Sunsoft,Sunsoft,1988,FALSE
Friday the 13th,Atlus,LJN,1989,FALSE
Fun House,Realtime Associates,Hi Tech Expressions,1991,FALSE
G.I. Joe: A Real American Hero,KID,Taxan,1991,FALSE
G.I. Joe: The Atlantis Factor,KID,Capcom,1992,FALSE
"Galaga: Demons of Death
Galaga (JP/PAL)",Namco,"Namco (JP)
Bandai (NA/PAL)",1988,FALSE
"Galaxy 5000: Racing in the 51st Century
Galaxy 5000",Activision,Activision,1991,FALSE
"Gargoyle's Quest II: The Demon Darkness
Red Arremer II (JP)",Capcom,Capcom,1992,FALSE
Gauntlet,Tengen,Tengen,1988,FALSE
Gauntlet II,Eastridge Technology,Mindscape,1990,FALSE
"Gemfire
Royal Blood (JP)",Koei,Koei,1992,FALSE
"Genghis Khan
Aoki Ookami to Shiroki Mejika: Genghis Khan (JP)",Koei,Koei,1990,FALSE
George Foreman's KO Boxing,Beam Software,Acclaim Entertainment,1992,FALSE
Ghostbusters,Bits Corporation,"Tokuma Shoten (JP)
Activision (NA)",1988,FALSE
Ghostbusters II,Imagineering,Activision,1990,FALSE
"Ghosts 'n Goblins
Makai-Mura (JP)
Ghost 'n Goblins (PAL)",Micronics,Capcom,1986,FALSE
Ghoul School,Imagineering,Electro Brain,1992,FALSE
"Goal! Two
Goal !! (JP)
Eric Cantona Football Challenge Goal! 2FR",Tose,Jaleco,1992,FALSE
"Goal!
Moero!! Pro Soccer (JP)",Tose,Jaleco,1989,FALSE
Godzilla 2: War of the Monsters,,Toho,1992,FALSE
"Godzilla: Monster of Monsters
Gojira (JP)",Compile,Toho,1989,FALSE
Golf,"Nintendo R&D2
HAL Laboratory",Nintendo,1985,FALSE
Golf Grand Slam,Tose,"Hect (JP)
Atlus (NA)",1991,FALSE
"Golgo 13: Top Secret Episode
Golgo 13: Kamigami no Koukon (JP)",Vic Tokai,Vic Tokai,1988,FALSE
Gotcha! The Sport!,Atlus,LJN,1987,FALSE
Gradius,Konami,Konami,1986,FALSE
Greg Norman's Golf Power,Gremlin Interactive,Virgin Games,1992,FALSE
Gremlins 2: The New Batch,Sunsoft,Sunsoft,1990,FALSE
"Guerrilla War
Guevara (JP)",SNK,SNK,1989,FALSE
Gumshoe,Nintendo R&D1,Nintendo,1986,FALSE
Gun-Nac,Compile,"Tonkin House (JP)
ASCII (NA)",1991,FALSE
Gun.Smoke,Capcom,Capcom,1988,FALSE
"Gyromite
Robot Gyro (JP)",Nintendo R&D1,Nintendo,1985,FALSE
Gyruss,Konami,Ultra Games,1989,FALSE
Harlem Globetrotters,Softie,GameTek,1991,FALSE
Hatris,Bullet-Proof Software,Bullet-Proof Software,1992,FALSE
Heavy Barrel,Data East,Data East,1990,FALSE
