title,developer,country,date,hidden
Hebereke's Poipotto, Sunsoft , PAL,"March 1, 1996", FALSE
King's Field, FROM Software, JP,"December 16, 1994", FALSE
Namco Soccer Prime Goal, Namco, PAL, November 1996, FALSE
Nekketsu Oyako,Technosoft,JP,"December 3, 1994",FALSE
Parodius, KCET, PAL,"March 15, 1996", FALSE
Rapid Reload,SCEI,PAL,"September 29, 1995",FALSE
Wizardry VII: Gadeia no Houshu,Sir Tech,JP,"October 13, 1995",FALSE
